Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,751.28 Units,90,(1 Year Standard,"₹42,300",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,773.19 Units,111 - 150,,"₹75,990",34,"₹26,690"
Blue Star,2023,['1 Ton'],4 Star,Star Split Inverter,4.2,925.24 Units,111 - 150,1 Year Warranty on Product,"₹39,390",52,"₹28,490"
Panasonic 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,828.37 Units,111 - 150,5 Years Warranty on Whole Product,"₹80,500",44,"₹33,850"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,975.26 kWh,111 - 150,(1 Year Standard,"₹74,490",48,"₹38,650"
CARRIER 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,1 Year Warranty on Product,"₹64,990",49,"₹39,850"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,90,1 Year on Product,"₹57,400",43,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,975.26 Units,111 - 150,1 Year Warranty on Product,"₹48,500",46,"₹33,990"
Daikin 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,743.05 Units,151 - 200,1 Year Warranty on Product,"₹64,990",38,"₹35,990"
Lloyd 1,,['1.5 Ton'],3 Star,Star Window Inverter,4.1,905.88 Units,111 - 150,(1 Year Standard,"₹50,967",10,"₹47,555"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹40,450",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1102.64 Units,90,1 Year Comprehensive Warranty on AC,"₹54,700",51,"₹36,970"
IFB FastCool,2023,['1 Ton'],2 Star,Star Split Inverter,4,999.6 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹55,300",16,"₹32,998"
Haier 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,533.61 Units,111 - 150,,"₹66,500",57,"₹33,850"
Haier Heavy,2023,['1.6 Ton'],5 Star,Star Split Inverter,4.2,1372.85 Units,111 - 150,1 Year on Product,"₹62,600",44,"₹41,399"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,789.6 Units,90,1 Year Warranty on Product,"₹90,500",52,"₹31,060"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,1 Year Warranty on the Product,"₹63,500",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,871.59 Units,111 - 150,1 Year Warranty on Product,"₹42,300",45,"₹26,490"
Voltas 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,774.88 Units,90,1 Year Warranty on Product,"₹79,890",49,"₹32,890"
Haier 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.1,751.28 Units,111 - 150,,"₹74,500",27,"₹37,150"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,657.31 Units,111 - 150,1 Year Warranty on Product,"₹75,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,523.98 Units,111 - 150,1 Year Warranty on Product,"₹48,849",43,"₹30,990"
Haier 2024,2024,['1.5 Ton'],5 Star,Star Window Dual,4.2,675.33 Units,111 - 150,1 Year Warranty on Product,"₹55,400",40,"₹32,880"
CARRIER 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.2,798.18 Units,111 - 150,(1 Year Standard,"₹41,900",49,"₹33,850"
Hitachi Ice,2023,['1 Ton'],5 Star,Star Split Inverter,4.2,681.21 Units,90,,"₹64,500",39,"₹37,580"
Daikin 2,,['2.02 Ton'],3 Star,Star Split Inverter,3.9,511.13 Units,90,,"₹46,250",22,"₹70,450"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,544.39 Units,90,1 Year Warranty on Product,"₹63,990",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,1024.34 Units,111 - 150,1 Year Warranty on Product,"₹42,500",33,"₹27,990"
CARRIER 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1012.62 Units,90,1 Year Warranty on Product,"₹63,100",50,"₹39,450"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,90,(1 Year Standard,"₹61,900",46,"₹39,850"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,5 Years Warranty on Whole Product,"₹57,400",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1395 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹61,300",46,"₹25,990"
Panasonic 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,1012.44 Units,111 - 150,(1 Year Standard,"₹76,500",7,"₹51,178"
Godrej 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4,672.93 kWh,111 - 150,(1 Year Standard,"₹60,500",35,"₹26,999"
IFB FastCool,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.1,836.95 Units,90,1 Year Standard Warranty on Product,"₹60,990",41,"₹37,450"
Blue Star,,['1 Ton'],3 Star,Star Split AC,4.1,685.62 Units,151 - 200,,"₹79,000",29,"₹32,745"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹48,500",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,1277.22 kWh,90,5 Years Warranty on Whole Product,"₹40,450",40,"₹25,490"
Hitachi Ice,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,2550 Units,151 - 200,,"₹74,050",40,"₹37,350"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,536.2 Units,90,1 Year Warranty on Product,"₹45,900",45,"₹33,999"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,1 Year on Product,"₹54,700",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,758.6 Units,151 - 200,,"₹63,500",47,"₹31,990"
Haier 2024,2024,['1.6 Ton'],5 Star,Star Split Inverter,4.2,541.48 W,90,1 Year Comprehensive Warranty on Product,"₹60,500",42,"₹43,650"
Blue Star,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,738.41 Units,90,1 Year Warranty on Product,"₹43,499",44,"₹33,850"
