Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,1 Year Warranty on Product,"₹47,899",45,"₹26,490"
MarQ by,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,953.67 Units,111 - 150,1 Year Warranty on Product,"₹75,990",47,"₹25,090"
Voltas 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,759.07 Units,111 - 150,5 Years Warranty on Whole Product,"₹40,450",52,"₹35,849"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,(1 Year Standard,"₹54,700",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,1 Year Warranty on Product,"₹61,699",43,"₹30,990"
MarQ by,2025,['2 Ton'],3 Star,Star Split Inverter,4.2,1281.64 Units,151 - 200,5 Years on the Product,"₹60,700",44,"₹34,490"
Haier 2025,2025,['1.5 Ton'],3 Star,Star Split Dual,4,1029.15 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹41,900",46,"₹32,290"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Window AC,4,1203.74 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹42,680",38,"₹25,880"
General 1,,['1 Ton'],4 Star,Star Window AC,2,1560 Units,90,(1 Year Standard,"₹63,500",14,"₹36,612"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,5 Years Warranty on Whole Product,"₹42,300",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,1 Year Warranty on Product,"₹63,990",33,"₹27,990"
Voltas 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,542.35 Units,90,1 Year Comprehensive Warranty on Product,"₹82,990",49,"₹32,499"
LG 2025,2025,['1.5 Ton'],3 Star,Star Hot and,4.1,1005.66 Units,111 - 150,,"₹75,990",49,"₹41,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,1 Year on Product,"₹48,849",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,657.31 Units,90,1 Year Warranty on Product,"₹78,990",46,"₹25,990"
LG AI,2024,['1.5 Ton'],3 Star,Star Split Dual,4.1,852.44 Units,111 - 150,1 Year Warranty on Product,"₹54,900",62,"₹29,990"
Panasonic 1,,['1 Ton'],3 Star,Star Split Inverter,4.2,667.91 kWh,90,1 Year Warranty on Product,"₹85,990",43,"₹30,990"
LG AI,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,744.99 Units,111 - 150,1 Year Warranty on Product,"₹81,990",54,"₹39,490"
LG AI,2024,['1.5 Ton'],4 Star,Star Split Dual,4.1,838.67 Units,111 - 150,,"₹63,990",7,"₹75,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,511.13 Units,90,1 Year Warranty on Product,"₹42,500",48,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4.2,544.39 Units,90,1 Year Comprehensive Warranty on AC,"₹52,990",40,"₹25,490"
Lloyd 1,,['1.25 Ton'],3 Star,Star Split Inverter,4.3,1700 Units,111 - 150,,"₹62,900",39,"₹32,194"
Panasonic 2025,2025,['1.5 Ton'],3 Star,Star Hot and,4.2,928.57 kWh,111 - 150,(1 Year Standard,"₹57,400",37,"₹39,380"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,952.68 Units,90,,"₹61,300",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,536.2 Units,90,1 Year Warranty on Product,"₹44,990",47,"₹31,990"
Lloyd 1,,['1 Ton'],3 Star,Star Split Inverter,4,644.02 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹59,990",41,"₹26,299"
Lloyd 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,5800 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹84,990",48,"₹30,690"
LG 2025,2025,['1.5 Ton'],5 Star,Star Split AI,4.2,744.75 Units,151 - 200,(1 Year Standard,"₹79,990",49,"₹42,990"
Voltas 2,,['2 Ton'],,,3.5,685.62 Units,90,5 Years Warranty on Whole Product,"₹48,500",47,"₹42,199"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,905.88 Units,111 - 150,1 Year Warranty on Product,"₹40,450",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1037.79 kWh,111 - 150,1 Year Comprehensive Warranty on Product,"₹68,990",34,"₹26,690"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1215.35 Units,111 - 150,(1 Year Standard,"₹40,990",50,"₹34,400"
Lloyd 1,,['1.5 Ton'],3 Star,Star Window AC,4.1,536.2 Units,90,(1 Year Standard,"₹54,700",7,"₹37,876"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year Warranty on Product,"₹63,500",43,"₹30,990"
